Name,Org Type 1,Org Type 2,Org Type 3,Org Type 4,Org Type 5,Org Type 6,Primary eMail,Website,Telephones,Main Address,Main Address State,Registered Address,Registered Address State,Contact 1 Name,Contact 1 Designation,Contact 1 eMail,Contact 1 Telephones,Contact 2 Name,Contact 2 Designation,Contact 2 eMail,Contact 2 Telephones,Brief Information,Year of Establishment,GuideStar Url
Teach to Lead,Advocacy & Campaigning,Direct Service,Network,Support,,,,www.teachforindia.org,"912225185821,912225185823","Teach For India,  Care of Godrej Industries Complex, Gate No. 2, Phirojshanagar,,Eastern Express Highway, Vikhroli (East),Mumbai,Maharashtra,400079",Maharashtra,"Voltas House ‘C’ Godown Premises,,T.B. Kadam Marg, Chinchpokli,Mumbai,Maharashtra,400033",Maharashtra,Shaheen Mistri,CEO,,,Mridvika Mathur,"Senior Manager, National Development",mridvika.mathur@teachforindia.org,,"India is facing crisis in its educational sector. Inequity in education is a huge concern - while wealthy Indian children have access to an excellent education, their low-income peers continue to lag far behind.  Teach For India strongly believes that in order to achieve educational parity, India needs a movement of leaders in a variety of sectors who are committed to, and will work towards, ensuring that every child in India receives an excellent education. In the short run, TFI will provide a source of dedicated teachers working tirelessly to expand the educational opportunities available to India's least privileged children. In the long run, the program aims to create a powerful network of alumni who, influenced by their experiences in the classroom, will work towards effecting multi-sector solutions to India’s educational problems. At Teach For India, we’re building a movement of leaders committed to create a world where everyone has a choice, an opportunity and a hope to maximize their potential. We are seeing the impact every day, across 12000 children. We are committed to working relentlessly with the highest sense of possibility to achieve this daunting mission.",2008,http://www.guidestarindia.org/Summary.aspx?CCReg=949
AASHAR AALO,Direct Service,Support,,,,,,,919932934327,"Lakshmikantapur, P.O. -Bijoygange Bazar,,Mandir Bazar,,Lakshmikantapur,South 24 Parganas,West Bengal,743343",West Bengal,,,Nantu Kumar Bhandari,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9089
ACE Foundation,Advocacy & Campaigning,Direct Service,Grant-making,Network,Support,,,,"919820822001,919819072036","18/16, Ground Floor, Fida Building,Princess Street,Mumbai,Maharashtra,400002",Maharashtra,,,Naresh Chawda,,,,,,,,"ACE Foundation is a non-profit organization formed by local youth who have experienced the potential of change through sports. We conduct Rugby Coaching for youth from slums with the aim of providing opportunities to youth like themselves to (re)build their lives.  ACE Foundation is registered under Trust act in Nov 2010. ACE Foundation have trains kids and youth from disadvantaged backgrounds, who do not have opportunities or access to sports equipment or training and helps get into district, state, national and international levels tournaments. ACE uses sports as a medium to engage with youth towards self-development while building professional skills.",2010,http://www.guidestarindia.org/Summary.aspx?CCReg=9129
Adarsh Shiksha Evam Jan Kalyan Samiti Alwar,Direct Service,,,,,,,,918432556354,"189, A- Block,Ranjeet Nagar, 60 Feet Road,Alwar,Rajasthan,301001",Rajasthan,"Village- Rathi Bass, Post- Nogawan,Tehsil- Ramgarh,Alwar,Rajasthan,301025",Rajasthan,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9165
Akhil Bhartiya Veshya Devdashi Muruli Nirmulan Va Punarvasan Sanstha,Advocacy & Campaigning,Network,,,,,,,919975979136,"Opp.Ganesh Tel Vikri Kendra,Prakash Nagar,,Latur,Maharashtra,413531",Maharashtra,"Opp.Ganesh Tel Vikri Kendra,Prakash Nagar,,Prakash Nagar,Latur,Latur,Maharashtra,413531",Maharashtra,Gopal Gawali,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9044
APPROACH AUTISM SOCIETY,Support,,,,,,,,919214309551,"M2161, Rangoli Gardnes, Maharana Pratap Marg,Panchyawala,,Jaipur,Rajasthan,302034",Rajasthan,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9154
Arunodaya Sarveshwari Lok Kalyan Samiti,Advocacy & Campaigning,Support,,,,,,www.aslks.org,"917342580141,917342580141","EWs 117 indira nagar agar road,35, gangotri parisar , near st. paul schoool,ujjain,Ujjain,Madhya Pradesh,456001",Madhya Pradesh,,,Shailendra Vyas,,,,,,,,"ARUNODAYA SARVESHWARI LOK KALYAN SAMITI UJJAIN (M.P) is working since JUNE 1994 having theregistration certificate number.- 808 Ujjain under Madhya Pradesh Society Registration Act, 1973 and having a betterexperience in the field of Social Welfare and UPliftment of the Society. Our society worked from last 11 years in thefield of Rural Health Center & Community Mobilization Activities through PPP Model is an ambitious Project underRural R.C.H.II programme the above activity introduced in Namadar Pura area Ujjain is first Public PrivatePartnership Model of Govt. of Madhya Pradesh . ARUNODAYA SRAVESHWARI LOK kALYAN SAMITI UJJAIN isassigned responsibility of carrying out both the activities keeping in view the following objectives. Stren",1994,http://www.guidestarindia.org/Summary.aspx?CCReg=8999
ASHA CHARITABLE TRUST,Support,,,,,,,,919414035821,"Gayatri Nagar, Agra Road,Dausa,Dausa,Rajasthan,303303",Rajasthan,,,Nawalkishor Bhankari,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9156
ASHWINI FOUNDATION HINGOLI,Direct Service,Grant-making,Network,Support,,,,,919822348680,"Arihant,,Post Office Road, Shastri Nagar,,Hingoli,Maharashtra,431513",Maharashtra,,,Dr. Amit Jayendra Shah,,,,,,,,"To start and run hospital for multipurpose and to provide and ambulance for rural and urban areas, blood bank, Pathology lab, medical college, Nursing College to establish and run mobile hospitals, Primary health care center, family planning centers in rural and urban area",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9104
ASTITVA SHAIKSHANIK VA SAMAJIK VIKAS SANSTHA,Support,,,,,,,www.astitvafoundation.org,"919892354464,919892354465,917588382839","At Post Malawadi, Tal Man,,Satara,Maharashtra,415508",Maharashtra,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9106
BADHIT BAL VIKAS KENDRA,Direct Service,,,,,,,www.bbvk.org,"917442425127,917442425127","Badhit Bal Vikas Kendra,Jhalawar Road, Vigyan Nagar,Kota,Rajasthan,324005",Rajasthan,,,Sarveshwari Raniwala,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9116
Behala Institute of Allied Health Sciences,Direct Service,Network,,,,,,http://www.biahs.in,"913365696061,913365696050,913364143850,913323481550,919830346797","2C/6, Ho Chi Minh Sarani, Sanjib Pally,Near Behala Chowrasta, Behala,Kolkata,West Bengal,700034",West Bengal,,,,,,,,,,,"Self-employment generation by Skill Development through Vocational Training in Healthcare Service Sector, amongst unemployed youths, women & minorities, since 2004.",2004,http://www.guidestarindia.org/Summary.aspx?CCReg=9143
BUILD A CLASS INITIATIVE,Advocacy & Campaigning,Direct Service,Intermediary,,,,,http://buildaclassinitiative.org/,919771481869,"A 1603, Priyanka Hill Apartments,Sector 30, Cbd Belapur,Navi Mumbai,Thane,Maharashtra,400614",Maharashtra,"725 (18/1) Garfa Kalikapur Main Road,Kolkata,South 24 Parganas,West Bengal,700099",West Bengal,Abhisek Chakraborty,Founder/Chief Executive,,,Sucharita Mukherjee,Manager,sucharita@whizmantra.com,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9110
